doc_id,text,human_labelled
1,"I was at a work event and I was laughing to the point where my eyes started to water uncontrollably, which made me very uncomfortable.",0
2,An argument with my parents regarding their marriage and the kids.,0
3,mother locking me inside of house and trying to end her life with alcohol and pills. shattering alcohol bottles and relatives then trying to break into the house stopping her.,0
4,2 popular girls that I became friends with in my junior year of high school bullied one of my best friends that I had known since grade 9. They disliked her for some reason and I was too scared to defend her against them and silently let them bully her.,0
5,"I was abused and have ptsd, I have reoccurring memories regarding that pop into my head all the time. Emotionally and verbally abused by my dance teacher from 3-17",0
6,"I was in montreal with my friends and I got into a fight with one of them and left the club late at night. my phone was dead and I could not contact anyone, and I got lost afterwards. they eventually found me but I always think of this event and what other things could have possibly happened.",0
7,It's studying and waiting for a specific friend to show up but they never did.,0
8,"Personal, would rather not describe.",1
9,"my memory isn't a pleasant one and seems to always pop up whenever i feel uncomfortable or going to sleep. It is about seeing something i really wish I never had and no matter how hard I try to block it out, it will not stay hidden w/in the depths of my memory.",0
10,"A student on campus told me to ""slit my wrists and send him a pic"". I often have the entire situation play out in my mind on a loop.",0
11,I do not want to disclose this,1
12,What would happen if I never stopped dancing? I could be on the OUCH team. My technique has gotten sloppy.,0
13,"I was in a car accident in grade 12 and I sometimes feel like the accident is recurring. I can hear the sounds, see the sights and I feel the anxiety/stress of the event. Sometimes it feels like I am still in the car and that there is a feeling of panic.",0
14,"When I was around 12 years old, I found my cat to be dead. I remember having to bury him and I remember missing him greatly.",0
15,"Sporadic flashbacks to moments within different points of my first romantic relationship. Usually triggered by changes in environment (specific sights, sounds or smells) when not actively engaging on a particular task. Difficult to push out of my head at times.",0
16,"I recently went through a really bad and challenging break up, and I have frequent flashbacks of times with my past boyfriend. Recently, it was a memory of us planning our wedding.",0
17,"It is a memory of me being bullied at school when I was in the eight grade. The other boys in the class pushed me down to the ground and started kicking at me. The feelings associated with this memory are often sadness, frustration, and relief that, that particular part of my life is now behind me.",0
18,memories from old dreams,1
19,I had been a cutter for a year and one night I cut too deep and realized I needed stitches. I called my friend and she stayed with me at the ER for 6 hours.,0
