resampler,classifier,fold,macro_f1
ad,dt,0,0.6853002070393375
ad,dt,1,0.5373547315993359
ad,dt,2,0.5862884160756501
ad,dt,3,0.5802238805970149
ad,dt,4,0.5585349901896665
ad,dt,5,0.6785714285714286
ad,dt,6,0.5273109243697479
ad,dt,7,0.5925925925925926
ad,dt,8,0.5471014492753623
ad,dt,9,0.6566383257030739
ad,en,0,0.8228438228438227
ad,en,1,0.625615763546798
ad,en,2,0.6253746253746254
ad,en,3,0.7752247752247753
ad,en,4,0.7752247752247753
ad,en,5,0.892857142857143
ad,en,6,0.6038732394366197
ad,en,7,0.6038732394366197
ad,en,8,0.5862884160756501
ad,en,9,0.8226950354609929
ad,gb,0,0.6788732394366197
ad,gb,1,0.4722222222222222
ad,gb,2,0.4827586206896552
ad,gb,3,0.6253746253746254
ad,gb,4,0.6038732394366197
ad,gb,5,0.8188405797101449
ad,gb,6,0.5714285714285714
ad,gb,7,0.7052217855137562
ad,gb,8,0.5471014492753623
ad,gb,9,0.7044917257683215
ad,logreg,0,0.7361111111111112
ad,logreg,1,0.625615763546798
ad,logreg,2,0.6527777777777778
ad,logreg,3,0.7359154929577465
ad,logreg,4,0.7752247752247753
ad,logreg,5,0.892857142857143
ad,logreg,6,0.5862884160756501
ad,logreg,7,0.6253746253746254
ad,logreg,8,0.5862884160756501
ad,logreg,9,0.8226950354609929
ad,lsvc,0,0.8680555555555556
ad,lsvc,1,0.625615763546798
ad,lsvc,2,0.6253746253746254
ad,lsvc,3,0.7752247752247753
ad,lsvc,4,0.7752247752247753
ad,lsvc,5,0.892857142857143
ad,lsvc,6,0.4755244755244756
ad,lsvc,7,0.6038732394366197
ad,lsvc,8,0.5862884160756501
ad,lsvc,9,0.8226950354609929
ad,nb,0,0.8529980657640233
ad,nb,1,0.7361111111111112
ad,nb,2,0.6209994385176867
ad,nb,3,0.7201492537313434
ad,nb,4,0.7547416612164813
ad,nb,5,0.8528449967298888
ad,nb,6,0.7894441325098259
ad,nb,7,0.7044917257683215
ad,nb,8,0.7282608695652174
ad,nb,9,0.7407407407407407
ad,rf,0,0.8228438228438227
ad,rf,1,0.625615763546798
ad,rf,2,0.7359154929577465
ad,rf,3,0.7752247752247753
ad,rf,4,0.7752247752247753
ad,rf,5,0.9408983451536643
ad,rf,6,0.6253746253746254
ad,rf,7,0.7044917257683215
ad,rf,8,0.6038732394366197
ad,rf,9,0.7752247752247753
sm,dt,0,0.819047619047619
sm,dt,1,0.6214720531267295
sm,dt,2,0.5862884160756501
