resampler,classifier,fold,mcc
ad,dt,0,0.3955289324822186
ad,dt,1,0.08191979831168213
ad,dt,2,0.17444940691627658
ad,dt,3,0.1913829539560278
ad,dt,4,0.1182165609358651
ad,dt,5,0.35714285714285715
ad,dt,6,0.0657951694959769
ad,dt,7,0.20965696734438366
ad,dt,8,0.09799919151000505
ad,dt,9,0.3152441624956403
ad,gb,0,0.35774647887323946
ad,gb,1,-0.05379662433186815
ad,gb,2,0.0
ad,gb,3,0.2875430708824757
ad,gb,4,0.21821789023599236
ad,gb,5,0.6492446437537834
ad,gb,6,0.14285714285714285
ad,gb,7,0.42712531429913936
ad,gb,8,0.09799919151000505
ad,gb,9,0.41233496180210827
ad,logreg,0,0.49134250223106246
ad,logreg,1,0.2879379453511626
ad,logreg,2,0.43495883620084
ad,logreg,3,0.49099025303098287
ad,logreg,4,0.6193235372853324
ad,logreg,5,0.7857142857142857
ad,logreg,6,0.17444940691627658
ad,logreg,7,0.2875430708824757
ad,logreg,8,0.17444940691627658
ad,logreg,9,0.6502205166879399
ad,lsvc,0,0.7639120655125278
ad,lsvc,1,0.2879379453511626
ad,lsvc,2,0.2875430708824757
ad,lsvc,3,0.6193235372853324
ad,lsvc,4,0.6193235372853324
ad,lsvc,5,0.7857142857142857
ad,lsvc,6,-0.04423739552038088
ad,lsvc,7,0.21821789023599236
ad,lsvc,8,0.17444940691627658
ad,lsvc,9,0.6502205166879399
ad,nb,0,0.7095969515638287
ad,nb,1,0.49134250223106246
ad,nb,2,0.2539664030967856
ad,nb,3,0.4935665654655454
ad,nb,4,0.5122717640554154
ad,nb,5,0.7092993656151906
ad,nb,6,0.6002842255014932
ad,nb,7,0.41233496180210827
ad,nb,8,0.465496159672524
ad,nb,9,0.5241424183609592
ad,rf,0,0.6505084083686947
ad,rf,1,0.2879379453511626
ad,rf,2,0.49099025303098287
ad,rf,3,0.6193235372853324
ad,rf,4,0.6193235372853324
ad,rf,5,0.8881060715737716
ad,rf,6,0.2875430708824757
ad,rf,7,0.41233496180210827
ad,rf,8,0.21821789023599236
ad,rf,9,0.6193235372853324
sm,dt,0,0.6496277048436412
sm,dt,1,0.2548615947474555
sm,dt,2,0.17444940691627658
sm,dt,3,0.20965696734438366
sm,dt,4,0.14285714285714285
sm,dt,5,0.5592589407158036
sm,dt,6,0.0657951694959769
sm,dt,7,0.36689969285267143
sm,dt,8,0.17444940691627658
sm,dt,9,0.35714285714285715
sm,gb,0,0.35774647887323946
sm,gb,1,-0.04362696141684282
sm,gb,2,0.2875430708824757
sm,gb,3,0.2875430708824757
sm,gb,4,0.21821789023599236
sm,gb,5,0.7857142857142857
sm,gb,6,0.14285714285714285
sm,gb,7,0.3947710169758614
sm,gb,8,0.1182165609358651
sm,gb,9,0.21821789023599236
sm,logreg,0,0.49134250223106246
sm,logreg,1,0.2879379453511626
sm,logreg,2,0.21821789023599236
sm,logreg,3,0.49099025303098287
sm,logreg,4,0.6193235372853324
sm,logreg,5,0.7857142857142857
sm,logreg,6,0.21821789023599236
